country,iso3c,dataset,last_survey_year,year,wb_country,total_population,age65_share
Australia,AUS,ALSA,2014.0,2014,Australia,23475686,14.6343933904119
Austria,AUT,SHARE,2022.0,2022,Austria,9041851,19.7897509199721
Belgium,BEL,SHARE,2022.0,2022,Belgium,11680210,19.7671927585206
Bulgaria,BGR,SHARE,2022.0,2022,Bulgaria,6465097,21.6972972212748
China,CHN,CHARLS,2018.0,2018,China,1402760000,11.5162092042497
Croatia,HRV,SHARE,2022.0,2022,Croatia,3855641,22.4847051223347
Cyprus,CYP,SHARE,2022.0,2022,Cyprus,1331370,14.0779422699926
Czech Republic,CZE,SHARE,2022.0,2022,Czechia,10672118,20.5183106530339
Denmark,DNK,SHARE,2022.0,2022,Denmark,5903037,20.4007400764725
England,GBR,ELSA,2019.0,2019,United Kingdom,66631000,18.457958087858
Estonia,EST,SHARE,2022.0,2022,Estonia,1348840,20.6300461857585
Finland,FIN,SHARE,2022.0,2022,Finland,5556106,23.2287672110978
France,FRA,SHARE,2022.0,2022,France,68184457,21.3773491158756
Germany,DEU,SHARE,2022.0,2022,Germany,83177813,22.4589063795192
Greece,GRC,SHARE,2022.0,2022,Greece,10436882,23.2281742678017
Hungary,HUN,SHARE,2022.0,2022,Hungary,9605074,20.6075593133653
India,IND,LASI,2024.0,2024,India,1450935791,7.14651714039908
Israel,ISR,SHARE,2022.0,2022,Israel,9557500,12.3030366078735
Italy,ITA,SHARE,2022.0,2022,Italy,59013667,23.929189689659
Japan,JPN,NSJE+MIDJA,2011.0,2011,Japan,127833000,23.6527395093536
Korea,KOR,KLOSA,2020.0,2020,"Korea, Rep.",51836239,15.822165945989
Latvia,LVA,SHARE,2022.0,2022,Latvia,1879383,21.0117630297337
Lithuania,LTU,SHARE,2022.0,2022,Lithuania,2831639,19.8607556942966
Luxembourg,LUX,SHARE,2022.0,2022,Luxembourg,653103,14.8424375777289
Malta,MLT,SHARE,2022.0,2022,Malta,531113,19.2843700775476
Mexico,MEX,MHAS,2019.0,2019,Mexico,125762982,7.33464157467799
Netherlands,NLD,SHARE,2022.0,2022,Netherlands,17700982,19.9012830406524
Poland,POL,SHARE,2022.0,2022,Poland,36821749,19.0192157040405
Portugal,PRT,SHARE,2022.0,2022,Portugal,10434332,23.688003515383
Romania,ROU,SHARE,2022.0,2022,Romania,19048502,19.5152470245056
Slovakia,SVK,SHARE,2022.0,2022,Slovak Republic,5431752,17.5706371952843
Slovenia,SVN,SHARE,2022.0,2022,Slovenia,2112076,20.8812714279501
Spain,ESP,SHARE,2022.0,2022,Spain,47786102,20.1879992491906
Sweden,SWE,SHARE,2022.0,2022,Sweden,10486941,20.3419018248482
Switzerland,CHE,SHARE,2022.0,2022,Switzerland,8777088,19.2186649457438
USA,USA,HRS,2023.0,2023,United States,336806231,17.4318194823539
